D5PH9LN3
['Sep 15, 2022 @ 23:03:06.681', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:03:06.510', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:03:06.498', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:03:04.844', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:03:04.640', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:03:03.538', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:03:03.435', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:03:02.571', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:03:02.421', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:02:56.270', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:02:56.262', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:02:56.167', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:02:56.161', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:02:54.960', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:02:54.853', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:02:53.918', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:02:53.816', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:02:52.752', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:02:52.650', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 20:47:11.413', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
